Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
akt0_beca317e	narrator	Dies hier ist nur ein Test... 	game/script.rpy	40	narrator "[what]"
akt0_15b0b948	sa	Hi, ich bin Sakura	game/script.rpy	46	sa "[what]"
akt0_53d651b4	sa	Freut mich	game/script.rpy	47	sa @ differenteyes "[what]"
Sakura_Frage1_9c799c57	sa	Findest du mich hübsch?	game/script.rpy	49	sa "[what]" nointeract
saja1_9856ad80	sa	Dankeschön mein süßer	game/script.rpy	55	sa @ differenteyes "[what]"
sanein1_aa7f9dc1	sa1	Du bist tot	game/script.rpy	61	sa1 redeyes "[what]"
sanein1_2e9a35dd	sa1	TOT!!!!!!!	game/script.rpy	62	sa1 "[what]"
sanein1_a2de31ca	sa2	Warum fandest du mich hässlich??????	game/script.rpy	65	sa2 "[what]"
sanein1_1caada7c		You died with [Happyending] points	game/script.rpy	68	"[what]"
akt00_46b79df3	ak	...	game/script.rpy	73	ak "[what]"
akt00_21f426cc	test11	test bestanden	game/script.rpy	74	test11 "[what]"
akt00_36259c8f	ma	test	game/script.rpy	75	ma "[what]"
akt00_1334f744	ak	hello test	game/script.rpy	76	ak "[what]"
akt00_c6bda2e1	ma	ich bin glücklich	game/script.rpy	77	ma happy "[what]"
akt00_9a96f526	narrator	Entscheide dich nun	game/script.rpy	78	narrator "[what]"
Blaue_Pille_fb33ea5d	ak	test9090 du hast [Happyending] punkte	game/script.rpy	98	ak "[what]"
Blaue_Pille_0a028dc3	sa	hello my friend	game/script.rpy	100	sa "[what]"
Blaue_Pille_69026251	test11	Hi, ich bin [name1], du bist [ak]	game/script.rpy	102	test11 "[what]"
Rote_Pille_5fd3e4c4	sa	Herzlichen glückwunsch du hast [Happyending] punkte	game/script.rpy	115	sa "[what]"
Akt1_0a9cac76		Du hast du Blaue Pille genommen	game/script.rpy	128	"[what]"
Akt1_899faadd		Du hast die Rote Pille genommen	game/script.rpy	131	"[what]"
Akt2_aabb8a70		Wir sind nun am Ende angekommen	game/script.rpy	136	"[what]"
Goodending_5a92f30f		Du hast das gute Ende erhalten mit [Happyending] P	game/script.rpy	168	"[what]"
Nending_e9c23d9a		Du hast das normale Ende erhalten mit [Happyending] P	game/script.rpy	173	"[what]"
BadEnding_d92cd27f		Du hast das schlechte Ende erhalten [Happyending] P	game/script.rpy	178	"[what]"
AktEnde_ed43cec6	ak	Tschüss	game/script.rpy	184	ak "[what]"
AktEnde_7e0f1e4b	sa	Tsüsch	game/script.rpy	185	sa "[what]"
AktEnde_99419841	ma	Bye	game/script.rpy	186	ma "[what]"
